"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","M4A5Cf 2","ah5Ghc 3"
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%83%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3e2f06e826c115e7:0xac1c221423e4408c!8m2!3d24.685857!4d46.774597!16s%2Fg%2F11c5554pcc!19sChIJ5xXBJugGLz4RjEDkIxQiHKw?authuser=0&hl=ar&rclk=1","برجر كنج","4.2","(136)","·","$$","هامبرغر","·","","·","Othaim Mall، الطريق الدائري الشرقي الفرعي","مفتوح","⋅ يغلق ١٢ ص","https://lh5.googleusercontent.com/p/AF1QipOyPjYEPGoPd90yUyJwyF8gOjCSLNV5KG3UFuva=w92-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%AC%D8%B1%D9%8A%D9%84+%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2f030b537393a5:0xa307cb73d01fc256!8m2!3d24.6980107!4d46.7044906!16s%2Fg%2F11c51rm5zk!19sChIJpZNzUwsDLz4RVsIf0HPLB6M?authuser=0&hl=ar&rclk=1","جريل ات","4.0","(389)","·","$$","مطعم","·","","2558 طريق الأمير سلطان بن عبدالعزيز","","مفتوح","⋅ يغلق ٣ ص","https://lh5.googleusercontent.com/p/AF1QipPiBxHFY6mgznBYu5mREpo4eacS9Zlec0iLvRyg=w80-h100-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%AA%D9%88%D8%A8+%D8%A8%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2f031b0fb8c41f:0xae74a9c6786dc3b7!8m2!3d24.7014205!4d46.6764812!16s%2Fg%2F11v0gh88dj!19sChIJH8S4DxsDLz4Rt8NteMapdK4?authuser=0&hl=ar&rclk=1","توب بن","4.2","(396)","·","$$","هامبرغر","·","","·","شارع موسى بن نصير","مفتوح","⋅ يغلق ١ ص","https://lh5.googleusercontent.com/p/AF1QipOM7YZMpR8ids_l8bQPg3H1aQo6MnNYqQ2O_EkS=w92-h92-k-no","""","","البرجر","","لذيذ انصح في"
"https://www.google.com/maps/place/%D8%B4%D9%8A%D9%81%D8%B2+%D8%A8%D8%B1%D8%AC%D8%B1+%7C+Chef%27s+Burger%E2%80%AD/data=!4m7!3m6!1s0x3e2f03a369b3e2b1:0x7411370829db0396!8m2!3d24.763301!4d46.745799!16s%2Fg%2F11rgzw6m_m!19sChIJseKzaaMDLz4RlgPbKQg3EXQ?authuser=0&hl=ar&rclk=1","شيفز برجر | Chef's Burger","4.6","(5,923)","","","مطعم","·","","·","طريق الملك عبدالله الفرعي","مفتوح","⋅ يغلق ١:٤٥ ص","https://lh5.googleusercontent.com/p/AF1QipM-VInVsxxbISmJzOZEBFCG8EOxDrJwVUyWaAs1=w139-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/Su+Burger+-+%D8%A7%D8%B3+%D9%8A%D9%88+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2ee3f15e1ad2a5:0x996ac30a4c140d3b!8m2!3d24.7405538!4d46.6477206!16s%2Fg%2F11t6y4t2xn!19sChIJpdIaXvHjLj4ROw0UTArDapk?authuser=0&hl=ar&rclk=1","Su Burger - اس يو برجر","4.6","(23)","","","وجبات سريعة","·","","RGHA3396، 3396 جعفر بن أحمد، 8217، حي المحمدية،","","مفتوح","⋅ يغلق ٢ ص","https://lh5.googleusercontent.com/p/AF1QipO6B16SBvLs-tISUGvwRNe9pudS9o3l7kclj30V=w92-h92-k-no","الجلوس داخل المكان","·","الإيصال إلى السيارة","",""
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%83%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3e2f0364fbcb482d:0xc2158d95c557825!8m2!3d24.6817644!4d46.6946163!16s%2Fg%2F11bz_y5jpg!19sChIJLUjL-2QDLz4RJXhVXNlYIQw?authuser=0&hl=ar&rclk=1","برجر كنج","3.9","(1,442)","·","$$","هامبرغر","·","","·","Near Aramex, طريق مكة المكرمة الفرعي","مفتوح","⋅ يغلق ٤ ص","https://lh5.googleusercontent.com/p/AF1QipPu09ZRRQZwlC8bL1JpMbdz8pnalbg54PZlvDC9=w92-h92-k-no","الجلوس داخل المكان","·","خدمة الطلب أثناء القيادة","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D9%88%D9%86+%D8%A8%D8%A7%D9%88%D9%86%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3e2efdaf64ec0185:0x9e8c93ab04141712!8m2!3d24.7925981!4d46.6732996!16s%2Fg%2F11g0nk81ls!19sChIJhQHsZK_9Lj4REhcUBKuTjJ4?authuser=0&hl=ar&rclk=1","ون باوند","4.1","(2,376)","·","$$","مطعم","·","","·","طريق الأمير محمد بن سلمان بن عبدالعزيز","مفتوح","⋅ يغلق ٢ ص","https://lh5.googleusercontent.com/p/AF1QipOjd-6-nLdqHA8SmwtThJcYPJdZxnSllI0Oyx9q=w122-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D8%AC%D8%A7%D9%86+%D8%A8%D8%B1%D8%AC%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2f1a6cef4c0895:0x4d24e325570fb34b!8m2!3d24.582688!4d46.614267!16s%2Fg%2F11c1bmtvbr!19sChIJlQhM72waLz4RS7MPVyXjJE0?authuser=0&hl=ar&rclk=1","جان برجر","3.7","(867)","·","$$","مطعم","·","","طريق المدينة المنورة","","مفتوح","⋅ يغلق ٤ ص","https://lh5.googleusercontent.com/p/AF1QipNprlBZDbmhXWn7DHHlJj2FhUysO6HafnaAG3ir=w80-h106-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
"https://www.google.com/maps/place/%D9%88%D8%A7%D9%82%D9%8A%D9%88%E2%80%AD/data=!4m7!3m6!1s0x3e2f03b21631ea63:0xc76b433d52d49371!8m2!3d24.7064993!4d46.7077803!16s%2Fg%2F11h3g9f6d5!19sChIJY-oxFrIDLz4RcZPUUj1Da8c?authuser=0&hl=ar&rclk=1","واقيو","4.4","(7,226)","·","$$$","مطعم","·","","·","8563 شارع الأمير عبدالعزيز بن مساعد بن جلوي","مفتوح","⋅ يغلق ٢ ص","https://lh5.googleusercontent.com/p/AF1QipMyKpEWk1Qcow-0wZzTio2LI3K4b8kpsVS_1zyb=w92-h92-k-no","""انا ماعمري أكلت","","برجر","","قبل واقيو ❤️"""
"https://www.google.com/maps/place/%D8%A8%D8%B1%D8%AC%D8%B1+%D9%83%D9%86%D8%AC%E2%80%AD/data=!4m7!3m6!1s0x3e2ee30fc8b7625b:0xa1b53c1fc2e11d05!8m2!3d24.756464!4d46.629796!16s%2Fg%2F11qnh892ny!19sChIJW2K3yA_jLj4RBR3hwh88taE?authuser=0&hl=ar&rclk=1","برجر كنج","4.0","(142)","·","$$","هامبرغر","·","","·","Park Mall، الطريق الدائري الشمالي الفرعي","مفتوح","⋅ يغلق ١٢ ص","https://lh5.googleusercontent.com/p/AF1QipMaAFD2JQzHbZYtHT0hNkFSGru61EElcJRJmkqn=w92-h92-k-no","الجلوس داخل المكان","·","طعام سفري","·","التسليم بدون تلامس"
